Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
20 Math Crossword Puzzles for Grade 2 - Math Facts,https://raw.githubusercontent.com/thitipatrb/efl-pins/main/number-lab-crossnumber-g2.png,Math Puzzles & Worksheets,,"20 printable math crossword puzzles for grade 2. Answers cross, so a wrong answer shows up at the crossing and the page checks itself. Print and hand out - no prep, answer keys included. Great for math centers, early finishers, morning work and sub plans.",https://www.teacherspayteachers.com/Product/Math-Crossword-Puzzles-2nd-Grade-Math-Review-Early-Finishers-Enrichment-17488486,2026-08-27T09:00:00,"math, math activities, math worksheets, elementary math, teaching, worksheets, homeschool, classroom activities, puzzles, education"
20 Math Crossword Puzzles for Grade 3 - Math Facts,https://raw.githubusercontent.com/thitipatrb/efl-pins/main/number-lab-crossnumber-g3.png,Math Puzzles & Worksheets,,"20 printable math crossword puzzles for grade 3. Answers cross, so a wrong answer shows up at the crossing and the page checks itself. Print and hand out - no prep, answer keys included. Great for math centers, early finishers, morning work and sub plans.",https://www.teacherspayteachers.com/Product/Math-Crossword-Puzzles-3rd-Grade-Math-Review-Cross-Number-Early-Finishers-17449546,2026-08-27T09:00:00,"math, math activities, math worksheets, elementary math, teaching, worksheets, homeschool, classroom activities, puzzles, education"
20 Math Crossword Puzzles for Grade 4 - Math Facts,https://raw.githubusercontent.com/thitipatrb/efl-pins/main/number-lab-crossnumber-g4.png,Math Puzzles & Worksheets,,"20 printable math crossword puzzles for grade 4. Answers cross, so a wrong answer shows up at the crossing and the page checks itself. Print and hand out - no prep, answer keys included. Great for math centers, early finishers, morning work and sub plans.",https://www.teacherspayteachers.com/Product/Math-Crossword-Puzzles-4th-Grade-Math-Review-Cross-Number-Early-Finishers-17436969,2026-08-28T09:00:00,"math, math activities, math worksheets, elementary math, teaching, worksheets, homeschool, classroom activities, puzzles, education"
20 Math Crossword Puzzles for Grade 5 - Math Facts,https://raw.githubusercontent.com/thitipatrb/efl-pins/main/number-lab-crossnumber-g5.png,Math Puzzles & Worksheets,,"20 printable math crossword puzzles for grade 5. Answers cross, so a wrong answer shows up at the crossing and the page checks itself. Print and hand out - no prep, answer keys included. Great for math centers, early finishers, morning work and sub plans.",https://www.teacherspayteachers.com/Product/Math-Crossword-Puzzles-5th-Grade-Math-Review-Cross-Number-Early-Finishers-17457148,2026-08-28T09:00:00,"math, math activities, math worksheets, elementary math, teaching, worksheets, homeschool, classroom activities, puzzles, education"
10 Cryptogram Puzzles for Grades 2-3 - Bake Sale,https://raw.githubusercontent.com/thitipatrb/efl-pins/main/bake-sale-codes-g23.png,Brain Teasers & Word Puzzles,,"10 printable cryptogram puzzles for grades 2-3. Print and hand out - no prep. Answer keys for every page. Great for early finishers, morning work, centers, sub plans and gifted or enrichment groups.",https://www.teacherspayteachers.com/Product/Cryptogram-Puzzles-Early-Finishers-Bake-Sale-Secret-Codes-Grades-2-3-17419503,2026-08-29T09:00:00,"word puzzles, brain teasers, critical thinking, teaching, elementary school, worksheets, homeschool, classroom activities, reading activities, puzzles"
4 Logic Grid Puzzles for Grades 2-6 - Field Day,https://raw.githubusercontent.com/thitipatrb/efl-pins/main/field-day-free-sampler.png,Logic Puzzles for Kids,,"4 printable logic grid puzzles for grades 2-6, free to download. Print and hand out - no prep. Answer keys for every page. Great for early finishers, morning work, centers, sub plans and gifted or enrichment groups.",https://www.teacherspayteachers.com/Product/Logic-Puzzles-Early-Finishers-Enrichment-Field-Day-Brain-Teasers-Grades-2-6-17476448,2026-08-29T09:00:00,"logic puzzles, brain teasers, critical thinking, teaching, elementary school, worksheets, homeschool, classroom activities, gifted education, puzzles"
10 Logic Grid Puzzles for Grades 2-3 - Field Day,https://raw.githubusercontent.com/thitipatrb/efl-pins/main/field-day-g23.png,Logic Puzzles for Kids,,"10 printable logic grid puzzles for grades 2-3. Print and hand out - no prep. Answer keys for every page. Great for early finishers, morning work, centers, sub plans and gifted or enrichment groups.",https://www.teacherspayteachers.com/Product/Logic-Puzzles-Early-Finishers-Enrichment-Field-Day-Brain-Teasers-Grades-2-3-17419115,2026-08-30T09:00:00,"logic puzzles, brain teasers, critical thinking, teaching, elementary school, worksheets, homeschool, classroom activities, gifted education, puzzles"
10 Logic Grid Puzzles for Grades 4-6 - Field Day,https://raw.githubusercontent.com/thitipatrb/efl-pins/main/field-day-g46.png,Logic Puzzles for Kids,,"10 printable logic grid puzzles for grades 4-6. Print and hand out - no prep. Answer keys for every page. Great for early finishers, morning work, centers, sub plans and gifted or enrichment groups.",https://www.teacherspayteachers.com/Product/Logic-Puzzles-Early-Finishers-Enrichment-Field-Day-Brain-Teasers-Grades-4-6-17419199,2026-08-30T09:00:00,"logic puzzles, brain teasers, critical thinking, teaching, elementary school, worksheets, homeschool, classroom activities, gifted education, puzzles"
10 Logic Grid Puzzles for Grades 2-3 - Library Club,https://raw.githubusercontent.com/thitipatrb/efl-pins/main/library-club-g23.png,Logic Puzzles for Kids,,"10 printable logic grid puzzles for grades 2-3. Print and hand out - no prep. Answer keys for every page. Great for early finishers, morning work, centers, sub plans and gifted or enrichment groups.",https://www.teacherspayteachers.com/Product/Logic-Puzzles-Early-Finishers-Library-Club-Brain-Teasers-Grids-Grades-2-3-17419439,2026-08-31T09:00:00,"logic puzzles, brain teasers, critical thinking, teaching, elementary school, worksheets, homeschool, classroom activities, gifted education, puzzles"
10 Logic Grid Puzzles for Grades 4-6 - Library Club,https://raw.githubusercontent.com/thitipatrb/efl-pins/main/library-club-g46.png,Logic Puzzles for Kids,,"10 printable logic grid puzzles for grades 4-6. Print and hand out - no prep. Answer keys for every page. Great for early finishers, morning work, centers, sub plans and gifted or enrichment groups.",https://www.teacherspayteachers.com/Product/Logic-Puzzles-Early-Finishers-Library-Club-Brain-Teasers-Grids-Grades-4-6-17419473,2026-08-31T09:00:00,"logic puzzles, brain teasers, critical thinking, teaching, elementary school, worksheets, homeschool, classroom activities, gifted education, puzzles"
